tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
imdb.com/title/tt0478134,7.2,72250,In the Valley of Elah,In the Valley of Elah,2007,121,"Crime,Drama,Mystery"
imdb.com/title/tt2205697,7.2,87293,Stuck in Love.,Stuck in Love,2012,97,"Comedy,Drama,Romance"
imdb.com/title/tt1289406,7.2,87049,Harry Brown,Harry Brown,2009,103,"Action,Crime,Drama"
imdb.com/title/tt0280707,7.2,86380,Gosford Park,Gosford Park,2001,137,"Comedy,Drama,Mystery"
imdb.com/title/tt0137363,7.2,85846,Arlington Road,Arlington Road,1999,117,"Action,Crime,Drama"
imdb.com/title/tt0401711,7.2,72299,"Paris, je t'aime","Paris, je t'aime",2006,120,"Comedy,Drama,Romance"
imdb.com/title/tt3850214,7.2,84126,Dope,Dope,2015,103,"Adventure,Comedy,Crime"
imdb.com/title/tt1532503,7.2,91421,Beginners,Beginners,2010,105,"Comedy,Drama,Romance"
imdb.com/title/tt0082406,7.2,91285,The Fox and the Hound,The Fox and the Hound,1981,83,"Adventure,Animation,Drama"
imdb.com/title/tt0101761,7.2,90949,The Doors,The Doors,1991,140,"Biography,Drama,Music"
imdb.com/title/tt0086541,7.2,90574,Videodrome,Videodrome,1983,87,"Horror,Sci-Fi,Thriller"
imdb.com/title/tt1322269,7.2,89404,August: Osage County,August: Osage County,2013,121,"Comedy,Drama"
imdb.com/title/tt1263670,7.2,88908,Crazy Heart,Crazy Heart,2009,112,"Drama,Music,Romance"
imdb.com/title/tt2125435,7.2,82979,Beasts of the Southern Wild,Beasts of the Southern Wild,2012,93,"Adventure,Drama,Fantasy"
imdb.com/title/tt1341167,7.2,76874,Four Lions,Four Lions,2010,97,"Comedy,Crime,Drama"
imdb.com/title/tt4575576,7.2,75784,Christopher Robin,Christopher Robin,2018,104,"Adventure,Comedy,Drama"
imdb.com/title/tt0102975,7.2,74692,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,1991,110,"Action,Adventure,Sci-Fi"
imdb.com/title/tt1191111,7.2,78006,Enter the Void,Enter the Void,2009,161,"Drama,Fantasy"
imdb.com/title/tt0264616,7.2,82839,Frailty,Frailty,2001,100,"Crime,Drama,Thriller"
imdb.com/title/tt5478478,7.2,82259,Hostiles,Hostiles,2017,134,"Drama,Western"
imdb.com/title/tt0117802,7.2,81596,Swingers,Swingers,1996,96,"Comedy,Drama"
imdb.com/title/tt0110074,7.2,80408,The Hudsucker Proxy,The Hudsucker Proxy,1994,111,"Comedy,Drama,Fantasy"
imdb.com/title/tt0320661,7.2,282690,Kingdom of Heaven,Kingdom of Heaven,2005,144,"Action,Adventure,Drama"
imdb.com/title/tt1302011,7.2,275400,Kung Fu Panda 2,Kung Fu Panda 2,2011,90,"Action,Adventure,Animation"
imdb.com/title/tt0187393,7.2,269510,The Patriot,The Patriot,2000,165,"Action,Drama,History"
